id,kpa_id,ref,title,source_page
so1,kpa1,1,Sustainable Domestic and International Trade Revenue Collection Enhanced,58
so2_0,kpa2,2.0,Digital Capabilities for Efficient and Integrated Tax Administration Enhanced,63
so3_0,kpa3,3.0,Stakeholder Engagement and Partnerships for Effective Tax Administration Strengthened,71
so4_1,kpa4,4.1,Workforce Capability and Organizational Culture for Improved Performance Enhanced,75
so4_2,kpa4,4.2,Implementation of Ethics and TRA Anti-Corruption Strategy Enhanced and Sustained,85
so4_3,kpa4,4.3,HIV/AIDS infections and Non-Communicable Diseases reduced and supportive services improved,88
so5_0,kpa5,5.0,Operational Efficiency and Effectiveness in Service Delivery Enhanced,90
