id,kpa_id,objective_id,ref,level,kpi_name,definition,unit,baseline,y1_2026_27,y2_2027_28,y3_2028_29,y4_2029_30,y5_2030_31,direction,calculation_method,means_of_verification,data_source,frequency,responsible_dept,source_page
kpa5-005,kpa5,so5_0,5.1.1,output,Percentage of automated procurement process.,5.1.1 Digitized Procurement Lifecycle Implementation,percent,75%,80%,85%,90%,95%,100%,grow,(Number of automated Procurement Process/Total Number of Procurement Processes) x 100,Availability of Digital Plat Form/System,Availability of Digital Plat Form/System,Quarterly,PMD,85
kpa5-006,kpa5,so5_0,5.1.2,output,Percentage of framework contracts for critical and repeatedly established requirements/demand,5.1.2 Improved use of Framework Contracts (FWC) for critical and repeatedly requirements,percent,82%,82%,85%,90%,92%,95%,grow,(Number of existing FWC / Total established demand of FWC) x 100,Approved Procurement Plan and • FWC Register or system tracking reports,Approved Procurement Plan,Annually,PMD,85
kpa5-007,kpa5,so5_0,5.1.3,output,Procurement awareness Participation Rate.,"5.1.3 Enhanced Procurement Policy, laws and Procedures knowledge",percent,75%,80%,86%,89%,92%,95%,grow,(Number of staff attended training/awareness) /Total Number of staffs planned to attend training,Training attendance Report/Certificates,Training attendance Report,Annually,PMD,85
kpa5-008,kpa5,so5_0,5.1.4,output,Percentage of Critical Vendors with Performance Reviews,5.1.4 Optimized Vendor Relationship and Performance Management System.,percent,80%,82%,85%,87%,91%,95%,grow,(Number of Vendor Performance reviewed /Total Number of Critical Vendors) x 100,Vendor Performance Appraisal Form/Report,Vendor Performance Appraisal Form/Report,Annually,PMD,85
kpa5-009,kpa5,so5_0,5.2,outcome,Revenue Reconciliation Accuracy Rate,5.2 Enhanced Financial Operations Management,percent,85%,90%,92%,94%,96%,98%,grow,(Number of accurate reconciliations ÷ Total number of reconciliations) ×100%,"Reconciliation reports, Internal audit reports",Reconciliation reports,Quarterly,FND,85
kpa5-010,kpa5,so5_0,5.2,outcome,Average Refund Processing Time (Days),5.2 Enhanced Financial Operations Management,number,3,3,3,3,3,3,maintain,The average number of business days taken from the submission of a complete and valid refund request to the final disbursement of funds to the taxpayer.,QMS performance report FND-802-C,QMS performance report FND-802-C,Quarterly,FND,86
kpa5-011,kpa5,so5_0,5.2,outcome,Public Financial Management Compliance Score,5.2 Enhanced Financial Operations Management,percent,80%,82%,84%,86%,88%,90%,grow,"A composite score reflecting the level of adherence to national, regulations, and financial reporting standards, based on periodic assessments",NBAA (National Board of Accountants & Auditors Tanzania),NBAA (National Board of Accountants & Auditors Tanzania),Annually,FND,86
kpa5-012,kpa5,so5_0,5.2.1,output,Monthly Reconciliation Completion Time (Days),5.2.1 Streamlined Revenue Accounting and Reconciliation Processes,number,15,14,10,8,6,5,reduce,Average number of business days taken to complete all monthly revenue and ledger reconciliations from month-end,"Reconciliation logs, finance reports",Reconciliation logs,Quarterly,FND,86
kpa5-013,kpa5,so5_0,5.2.1,output,Automation Rate of Key Reconciliation Tasks,5.2.1 Streamlined Revenue Accounting and Reconciliation Processes,percent,20%,35%,50%,65%,75%,85%,grow,Automated processes ÷ Total processes) ×100,"System reports, IT automation reports",System reports,Quarterly,FND,86
kpa5-014,kpa5,so5_0,5.2.2,output,Cash Flow Forecasting Accuracy,5.2.2 Optimized Cash Flow and Treasury Management System,percent,5%,±5%,±5%,±5%,±5%,±5%,maintain,"Average percentage variance between projected and actual cash flow for a specific period. (e.g., monthly, quarterly).",Approved Budget System Report (EPICOR),Approved Budget System Report (EPICOR),Quarterly,RPD,86
kpa5-015,kpa5,so5_0,5.3,outcome,CP–APP–Budget alignment score,5.3 Improved Strategic Alignment between plans and Budget,percent,0%,100%,100%,100%,100%,100%,grow,Percentage of Outputs linked to CP and budgeted over Total APP Outputs,Corporate plan Approved budget Annual Action Plan,Corporate plan,Annually,RPD,86
kpa5-016,kpa5,so5_0,5.3.1,output,Percentage Annual Plans aligned to CP 7,5.3.1 Medium term and annual budgeting coordination mechanism operational,percent,100%,100%,100%,100%,100%,100%,maintain,Percentage of Annual Plan aligned with CP7 over Total APP's reviewed,Corporate plan Approved budget,Corporate plan,Annually,RPD,86
kpa5-017,kpa5,so5_0,5.3.2,output,Number of Framework approved,5.3.2 Corporate and departmental strategic planning framework institutionalised,number,2,1,1,1,1,2,maintain,Number of Frameworks approved and in use,Board and Management minutes,Board and Management minutes,Quarterly,RPD,86
kpa5-018,kpa5,so5_0,5.4,outcome,Timeliness of performance reports,5.4 Improved performance management and accountability across responsibility centres,percent,90%,94%,96%,98%,100%,100%,grow,Percentage Total number of reports expected over Number of reports submitted on time,Performance reports,Performance reports,Quarterly,RPD,86
kpa5-019,kpa5,so5_0,5.4.1,output,Reports produced as scheduled,"5.4.1 Monitoring, Evaluation, Accountability and Learning (MEAL) framework operational",percent,100%,100%,100%,100%,100%,100%,maintain,Percentage Number of reports produced according to schedule over Total Number of reports planned,Performance reports,Performance reports,Annually,RPD,86
kpa5-020,kpa5,so5_0,5.5,outcome,Percentage of strategic projects delivered on schedule,5.5 Improved delivery performance of strategic projects and programmes,percent,85%,91%,92%,93%,94%,95%,grow,% Projects completed on schedule over strategic projects completed,Project initiation Document Project Management records Project Approval meeting munities Projects implementation reports,Project initiation Document,Quarterly,RPD,86
kpa5-021,kpa5,so5_0,5.5.1,output,Projects with approved charters (Percentage),5.5.1 Strategic project and programme management framework institutionalised,percent,19%,30%,100%,100%,100%,100%,grow,Percentage of projects with approved charters over total number of Projects initiated,Project initiation Documents Project Management records Project Approval meeting minutes Projects implementation reports,Project initiation Documents,Quarterly,RPD,87
kpa5-022,kpa5,so5_0,5.6,outcome,Evidence-Backed Mandates,"5.6 Enhanced use of evidence, research and innovation (ERI) in policy and operational decisions",percent,0%,≥70%,≥75%,≥80%,≥85%,≥85%,grow,Total number of New regulations or strategies developed as a direct result of a specific research finding or innovation pilot,"Research reports, Innovation reports",Research reports,Annually,RPD,87
kpa5-023,kpa5,so5_0,5.6.1,output,Research outputs produced,5.6.1 Institutional research and innovation framework operational,number,4,5,5,5,5,5,grow,Total number of completed research outputs during the reporting period,Published research reports Published Research studies report abstracts on Intranet portal,Published research reports,Quarterly,RPD,87
kpa5-024,kpa5,so5_0,5.6.2,output,Policy briefs issued,5.6.2 Fiscal policy advisory and analytical briefing's function strengthened,number,1,2,2,2,2,2,grow,Total number of policy briefs finalized and disseminated during the reporting period,Published policy briefs report,Published policy briefs report,Quarterly,RPD,87
kpa5-025,kpa5,so5_0,5.6.3,output,Number of research proposals developed,5.6.3 Strengthened research engagement,number,3,6,8,10,12,14,grow,Number of research proposals developed for funding against planned number times 100 (4 for internal and 2 for external funding),"1. Proposal development reports 2. Internal approval minutes (e.g., research technical committee) 3. Copies of submitted proposals (hardcopy or electronic) 4. Internal communication (e.g., acceptance letters)",Proposal development reports,Quarterly,ITA,87
kpa5-026,kpa5,so5_0,5.6.3,output,Number of funded research proposals,5.6.3 Strengthened research engagement,number,2,4,6,8,10,12,grow,Number of research proposals funded against planned number times 100 (3 internal funding and 1 external donor funding),"Research fund guidelines 2. Signed grant agreements/ funding contracts, and financial records showing receipt of research fund",Research fund guidelines,Quarterly,ITA,87
kpa5-027,kpa5,so5_0,5.6.3,output,Number of researches completed timely,5.6.3 Strengthened research engagement,number,2,3,5,6,8,10,grow,Number of researches completed on time against total number of research projects due for completion times 100,Research tracking database/project management system 2. Approved research project plans with timelines 3. Project progress and closure reports 4. Final research reports or publications,Research tracking database/project management system,Quarterly,ITA,88
kpa5-028,kpa5,so5_0,5.6.3,output,Percentage of academic staff participating in research,5.6.3 Strengthened research engagement,percent,20%,20%,22%,24%,26%,30%,grow,Number of academic staffs participating in Research (excluding Tutorial Assistants) against Total number of academic staffs,1. Research participation records (databases) 2. Departmental research activity reports 3. Institutional publication records or repository,Research participation records,Quarterly,ITA,88
kpa5-029,kpa5,so5_0,5.6.4,output,Number of policy briefs produced,5.6.4 Research Dissemination of Research findings effectively,number,2,2,2,2,2,2,maintain,Number of policy briefs disseminated,"1. Institutional publication records or repository 2. Copies of submitted or published policy briefs 3. Dissemination records (e.g., circulation lists, workshops, website uploads)",Institutional publication records,Annually,ITA,88
kpa5-030,kpa5,so5_0,5.6.4,output,Number of international conferences conducted,5.6.4 Research Dissemination of Research findings effectively,number,1,1,1,1,1,1,maintain,Number of International Conferences Conducted,"1. Conference reports and proceedings 2. Participant registration records (showing international participation) 3. Invitations and correspondence with international speakers/ partners 4. Photos, publications, or media coverage of the event 5. Number of papers from ITA academic staff/ student",Conference reports and proceedings,Quarterly,ITA,88
kpa5-031,kpa5,so5_0,5.6.4,output,Number of national conferences and workshops conducted,5.6.4 Research Dissemination of Research findings effectively,number,2,2,2,2,2,2,maintain,Number of Conference and workshops conducted as planned,1. Published AJCFS journal issues (print or electronic copies) 2. Institutional publication records or repository 3. Internal and external reviewers' reports 4. Editorial board meeting minutes and publication approvals 5.,Published AJCFS journal issues,Quarterly,ITA,88
kpa5-032,kpa5,so5_0,5.6.4,output,African Journal of Customs and Fiscal Studies (AJCFS) issues are released annually,5.6.4 Research Dissemination of Research findings effectively,number,1,2,2,2,2,2,grow,Number of AJCFS journal issues published,Published AJCFS journal issues (print or electronic copies) 2. Institutional publication records or repository 3. Internal and external reviewers report 4. Editorial board meeting minutes and publication approvals 5. journal citation index or impact factor,Published AJCFS journal issues,Annually,ITA,89
kpa5-033,kpa5,so5_0,5.6.5,output,"Number of papers published in reputable journals/databases, e.g. SCOPUS, Emerald",5.6.5 High quality publications in reputable journals increased,number,4,6,10,12,14,16,grow,Number of high-impact journals,"1. Copies of published papers (PDF or journal links) 2. Indexing confirmation (e.g., proof that the journal is indexed in SCOPUS/ Emerald) 3. Acceptance letters from journals",Copies of published papers,Annually,ITA,89
kpa5-034,kpa5,so5_0,5.6.6,output,Number of Expressions of Interest (EOI) submitted,5.6.6 Consultancies in strategic priority areas of the Public Service Undertaken,number,2,4,6,8,10,12,grow,Number of EOI submitted against planned,Copies of submitted EOIs (hardcopy or electronic) 2. Confirmation emails/ acknowledgements from the recipient (donor/client) 3. EOI registers/database 4. courier or electronic submission receipts,Copies of submitted EOIs,Quarterly,ITA,89
kpa5-035,kpa5,so5_0,5.6.6,output,Number of Request for Proposal (RFP) submitted,5.6.6 Consultancies in strategic priority areas of the Public Service Undertaken,number,2,2,4,6,8,10,grow,Number of RFP submitted,1. Copies of submitted RFP (hardcopy or electronic) 2. Confirmation emails/ acknowledgements from the recipient (donor/client) 3. RFP registers/database 4. courier or electronic submission receipts,Copies of submitted RFP,Quarterly,ITA,89
kpa5-036,kpa5,so5_0,5.6.6,output,No. of external consultancies undertaken,5.6.6 Consultancies in strategic priority areas of the Public Service Undertaken,number,1,1,2,3,4,5,grow,Number of consultancies completed within contract period,"1. Signed consultancy contracts or agreements 2. Consultancy reports (inception, progress, and final reports) 3. Client acceptance or completion certificates 4. Payment records /invoices for consultancy services 5. Project completion or closure reports 6. Institutional consultancy database or records",Signed consultancy contracts or agreements,Quarterly,ITA,89
kpa5-037,kpa5,so5_0,5.6.6,output,Percentage of ITA staff engaged in TRA technical projects (internal consulting),5.6.6 Consultancies in strategic priority areas of the Public Service Undertaken,percent,30%,33%,36%,40%,44%,48%,grow,Number of ITA staff engaged in TRA Technical Projects against total number of staff times 100,"1. Release letters 2. Correspondence (emails, memos)",Release letters,Quarterly,ITA,89
kpa5-038,kpa5,so5_0,5.7,outcome,Percentage of AEOs consignments subjected to physical Inspection,5.7 Strengthened AEO Program,percent,15%,14%,13%,12%,11%,10%,reduce,Number of AEOs consignments subjected to physical Inspection over total AEOs consignments times 100,TANCIS clearance module report,TANCIS clearance module report,Quarterly,CED,90
kpa5-039,kpa5,so5_0,5.7.1,output,Percentage of successful hit rate compared to number of patrols done,5.7.1 Strengthened Enforcement and ant-smuggling operations,percent,65%,70%,75%,80%,85%,90%,grow,(Number of successful interceptions/seizures ÷ Total number of patrols conducted) × 100,"Patrol reports, seizure records,",Patrol reports,Quarterly And Annual,CED,90
kpa5-040,kpa5,so5_0,5.7.1,output,Enhanced patrols boats surveillance,5.7.1 Strengthened Enforcement and ant-smuggling operations,percent,80%,81%,82%,83%,84%,85%,grow,(Number of patrol boat operations conducted ÷ Planned patrol boat operations) × 100,"Patrol boat logbooks, operation reports",Patrol boat logbooks,Quarterly And Annual,CED,90
kpa5-041,kpa5,so5_0,5.7.1,output,Enhanced Border Surveillance Activities,5.7.1 Strengthened Enforcement and ant-smuggling operations,percent,80%,81%,82%,83%,84%,85%,grow,(Number of border surveillance activities conducted ÷ Planned surveillance activities) × 100,"Border surveillance reports, field operation reports,",Border surveillance reports,Quarterly and Annual,CED,90
kpa5-042,kpa5,so5_0,5.7.2,output,Percentage of customs system and operational challenges resolved within agreed timelines,5.7.2 Enhanced Customs Business Support,percent,80%,100%,100%,100%,100%,100%,grow,(Number of challenges resolved within SLA/agreed timeline ÷ Total challenges reported) × 100,"Incident management system reports, (Helpdesk logs) service desk reports, resolution records",Incident management system reports,Quarterly,CED,90
kpa5-043,kpa5,so5_0,5.7.2,output,Percentage of customs business processes reviewed and improved,5.7.2 Enhanced Customs Business Support,percent,90%,100%,100%,100%,100%,100%,grow,(Number of business processes reviewed and improved ÷ Total planned business processes for review) × 100,"Business process review reports, meeting minutes",Business process review reports,Semi-Annual,CED,90
