id,kpa_id,objective_id,ref,level,kpi_name,definition,unit,baseline,y1_2026_27,y2_2027_28,y3_2028_29,y4_2029_30,y5_2030_31,direction,calculation_method,means_of_verification,data_source,frequency,responsible_dept,source_page
kpa1-026,kpa1,so1,1.1.8,output,Percentage of Memorandums of Understanding vetted within the prescribed timeframe.,1.1.8 Strengthened legal compliance and risk management in tax administration,percent,100%,100%,100%,100%,100%,100%,maintain,Number of submitted MOUs over Vetted MOUs,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-027,kpa1,so1,1.1.8,output,Percentage of legal opinions issued annually,1.1.8 Strengthened legal compliance and risk management in tax administration,percent,100%,100%,100%,100%,100%,100%,maintain,Number of Legal Opinions Provided over Number of Legal Opinion requests issued,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-028,kpa1,so1,1.1.9,output,Percentage of cases successfully defended,1.1.9 Improved effectiveness in tax dispute resolution & litigation management,percent,82%,84%,86%,88%,90%,92%,grow,Number of Cases won and withdrawn over Total Number of Cases with exception of partly decided cases and settled cases,Case Management System Report,Case Management System Report,Annually,LSD,60
kpa1-029,kpa1,so1,1.1.9,output,Value of government revenue protected through litigation,1.1.9 Improved effectiveness in tax dispute resolution & litigation management,number,"752,886.79 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls","924,067.67 Mlls",grow,Total value of won cases and withdrawn cases,Case Management System Report,Case Management System Report,Annually,LSD,60
kpa1-030,kpa1,so1,1.1.10,output,Number of tax laws/regulations reviewed or drafted,1.1.10 Strengthened legislative and regulatory framework for tax administration,number,9,9,9,9,9,9,maintain,Total Number of Laws or regulation reviewed or Drafted,Finance Act,Finance Act,Annually,LSD,60
kpa1-031,kpa1,so1,1.1.10,output,Number of legal inputs submitted to Government policy processes,1.1.10 Strengthened legislative and regulatory framework for tax administration,number,3,3,3,3,3,3,maintain,Number of Contracts reviewed over Number of Contracts submitted for review,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-032,kpa1,so1,1.1.11,output,Percentage of TRA contracts legally reviewed before signing,1.1.11 Improved contract management and legal documentation,percent,100%,100%,100%,100%,100%,100%,maintain,Number of Contracts reviewed over Number of Contracts submitted for review,Correspondence Register,Correspondence Register,Annually,LSD,60
kpa1-033,kpa1,so1,1.1.12,output,Number of surveillance audits conducted to VAT exemption beneficiaries,1.1.12 Improved Integrity of the VAT Exemption System,number,31,36,36,36,36,36,grow,Total Number of Surveillance conducted over Number of identified Risky Projects,"Risk Profiling Report, Surveillance Audit Report","Risk Profiling Report, Surveillance Audit Report",Annually,RCD,61
kpa1-034,kpa1,so1,1.1.13,output,Number of Board Meetings Conducted,"1.1.13 Enhanced corporate governance and strategic oversight through timely Board deliberations, approvals, & monitoring of organizational performance",number,5,5,5,5,5,5,maintain,Number of deliberations implemented over Number of deliberations Issued.,"Board Minutes, Board Matters Arising",Board Minutes,Quarterly,RCD,61
kpa1-035,kpa1,so1,1.1.13,output,Percentage of deliberations made by the Board and implemented,"1.1.13 Enhanced corporate governance and strategic oversight through timely Board deliberations, approvals, & monitoring of organizational performance",percent,90%,100%,100%,100%,100%,100%,grow,Number of deliberations implemented over Number of deliberations Issued,"Board Minutes, Board Matters Arising",Board Minutes,Quarterly,RCD,61
kpa1-036,kpa1,so1,1.1.14,output,Average time (days) taken from Arrival of Goods to Removal (exit),1.1.14 Reduced clearance time of goods,days,8 days,8 days,7 days,6 days,5 days,4 days,reduce,(Sum of time of exit minus sum of time of arrival) over total consignments,TANCIS clearance Module and Time release report,TANCIS clearance Module,Quarterly,CED,61
kpa1-037,kpa1,so1,1.1.14,output,Average time (days) taken from Lodgement to Issuance of Assessment,1.1.14 Reduced clearance time of goods,days,4 days,4 days,3.5 days,3 days,2.5 days,2 days,reduce,(Sum of time of document assessment minus sum of time of lodgement) over total documents,TANCIS report for documents with clearance plan,TANCIS report for documents with clearance plan,Quarterly,PMD,61
kpa1-038,kpa1,so1,1.1.14,output,Percentage of goods whose assessment is made within 24 hours,1.1.14 Reduced clearance time of goods,percent,70%,75%,80%,85%,90%,90%,grow,Total number of assessed documents within 24 hours divide by the number of documents lodged in a certain day times a 100,TANCIS clearance module and Time release report,TANCIS clearance module,Quarterly,CED,61
kpa1-039,kpa1,so1,1.2,outcome,Reduction in Overall Tax Gap to GDP ratio,1.2 Reduced Tax Gap,number,1.89,1.89,1.00,,,,,Tax Gap over GDP,Tax gap studies,Tax gap studies,After every two years,RPD,61
kpa1-040,kpa1,so1,1.2,outcome,Percentage Reduction in Revenue Leakage from Discretionary Adjustments for Tax Investigation,1.2 Reduced Tax Gap,percent,1.9%,2%,2%,2%,2%,2%,grow,Change in revenue loss resulting from discretionary measures divide by total revenue times 100,"Discretionary Measures reports, Revenue collection Reports",Discretionary Measures reports,Annually,TID,61
kpa1-041,kpa1,so1,1.2,outcome,Annual Reduction in Estimated Compliance Gap,1.2 Reduced Tax Gap,percent,14.3%,13%,10%,8%,6%,5%,reduce,{Current year Compliance Gap minus previous year compliance Gap} divide by the previous year compliance Gap) times 100,Compliance reports,Compliance reports,Annually,RCD,62
kpa1-042,kpa1,so1,1.2.1,output,Enforcement action success rate,1.2.1 Compliance Gap Reduced,percent,60%,60%,70%,80%,90%,100%,grow,"(Number of enforcement actions resulting in confirmed tax liability, revenue recovery, or legally sustained outcomes ÷ Total number of enforcement actions completed during the reporting period) × 100",Revenue recovery/payment records linked to enforcement actions/Appeals and objection decisions (upheld vs overturned cases)/ Case closure reports and quarterly enforcement reports,Revenue recovery/payment records linked to enforcement actions,Quarterly,TID,62
kpa1-043,kpa1,so1,1.2.2,output,Number of New Data Sharing Agreements Established,1.2.2 Strengthened Compliance Audit and Enforcement Framework,number,47,20,15,10,10,10,reduce,The count of formal Memoranda of Understanding (MOUs) or data sharing agreements signed with other government agencies or key private sector entities for accessing data relevant to tax administration and compliance,TRA Intra-portal report,TRA Intra-portal report,Annually,RPD,62
kpa1-044,kpa1,so1,1.2.3,output,Increase in Undeclared Income/Assets Identified via Data Matching,1.2.3 Enhanced Third-Party Data Integration for Compliance,percent,60%,60%,70%,80%,90%,100%,grow,(Baseline value Actual value of undeclared income/assets identified ÷ Baseline Value) × 100,Data matching reports from IDRAS / TANCIS / third-party data integrations and Investigation reports with additional assessments form undeclared income/assets,Data matching reports from IDRAS,Annually,TID,62
kpa1-045,kpa1,so1,1.2.3,output,Frequency of Joint Compliance Initiatives with Partner Agencies,1.2.3 Enhanced Third-Party Data Integration for Compliance,number,36,36,36,36,36,36,maintain,Total Number of Joint Compliance Initiatives Conducted in the Period,"Approved joint operation plans with partner agencies, /Joint operation reports (field reports, compliance sweep reports)/ Case registers showing multi-agency involvement",Approved joint operation plans with partner agencies,Quarterly,TID & RPD,62
kpa1-046,kpa1,so1,1.2.4,output,Number of Evidence-Based Policy/Legislative Recommendations Submitted,1.2.4 Proactive Tax Policy and Legislative Review for Gap Closure,number,10,10,10,10,10,10,maintain,"The count of formal, documented recommendations for tax policy or legislative changes submitted to the Minister for consideration, directly informed by tax gap analysis and research.","Tax gap analysis reports, Legislative changes submitted to the Minister",Tax gap analysis reports,Annually,RPD & DRD,63
kpa1-047,kpa1,so1,1.2.4,output,Percentage of Submitted Recommendations Adopted/Implemented,1.2.4 Proactive Tax Policy and Legislative Review for Gap Closure,percent,80%,80%,80%,80%,80%,80%,maintain,The proportion of proposed tax policy or legislative recommendations submitted by TRA that are formally adopted or implemented by the relevant legislative or executive authorities within a given period.,Policies adopted,Policies adopted,Annually,RPD,63
kpa1-048,kpa1,so1,1.2.4,output,Estimated Revenue Impact from Adopted Reforms (0.8 to 1 % of GDP),1.2.4 Proactive Tax Policy and Legislative Review for Gap Closure,percent,0.8%,1%,1%,1%,1%,1%,grow,The projected annual increase in tax revenue attributable to the implementation of new or amended tax policies/legislation that originated from TRA's recommendations for tax gap closure.,Revenue collection report Approved tax reforms Finance Act,Revenue collection report,Annually,RPD,63
kpa1-049,kpa1,so1,1.2.4,output,Rate of Increase in registered taxpayers,1.2.4 Proactive Tax Policy and Legislative Review for Gap Closure,percent,14%,19%,23%,28%,33%,38%,grow,Percentage of registered taxpayer in current year minus previous year divide by previous year registered taxpayers times 100,IDRAS Report,IDRAS Report,Quarterly,RPD,63
kpa1-050,kpa1,so1,1.3,outcome,On time Filing Rate by Domestic Revenue,"1.3 Improved Registration, Filing and Payment Rate",percent,34%,40%,50%,60%,70%,80%,grow,Percentage of taxpayers filed returns on or before due date against eligible taxpayers to file return,IDRAS Report,IDRAS Report,Quarterly,DRD & LTD,63
kpa1-051,kpa1,so1,1.3,outcome,On time Filing Rate by Large Tax Payers,"1.3 Improved Registration, Filing and Payment Rate",percent,95%,96%,97%,98%,99%,100%,grow,Percentage of taxpayers filed returns on or before due date against eligible taxpayers to file return,IDRAS Report,IDRAS Report,Quarterly,DRD & LTD,63
kpa1-052,kpa1,so1,1.3,outcome,On time Payment rate,"1.3 Improved Registration, Filing and Payment Rate",percent,89%,92%,94%,96%,98%,100%,grow,Percentage of taxpayers paid taxes on or before due date against taxpayers paid taxes,IDRAS Report,IDRAS Report,Quarterly,LTD & DRD,63
kpa1-053,kpa1,so1,1.3,outcome,Average time to complete a new taxpayer registration,"1.3 Improved Registration, Filing and Payment Rate",days,1 day,1 day,1 day,1 day,1 day,1 day,maintain,Number of day (S) taken to issue TIN from date of receipt application,IDRAS Report,IDRAS Report,Quarterly,DRD,63
kpa1-054,kpa1,so1,1.3.1,output,Number of days to respond written taxpayer inquiries,1.3.1 Simplified Online Taxpayer Registration System Implemented,days,5 Days,5 days,5 days,5 days,5 days,5 days,maintain,Number of days attended inquiries from the date of receipts,IDRAS report,IDRAS report,Quarterly,DRD & LTD,63
kpa1-055,kpa1,so1,1.3.2,output,Percentage of reduced number of objection cases received against total number of assessments issued by 2030/31 for Domestic Revenue,1.3.2 Enhanced Taxpayer Service and Support Mechanisms,percent,4%,4%,3.5%,3%,2.5%,2%,reduce,Number of objections recorded divided by total number of assessment times 100,IDRAS Report,IDRAS Report,Quarterly,DRD & LTD,63
kpa1-056,kpa1,so1,1.3.3,output,Percentage number of objection cases received against total number of assessments issued by 2030/31 for Large Tax Payers,1.3.3 Reduction of tax objections,percent,4%,4%,3.5%,3%,2.5%,2%,reduce,Number of objections recorded divided by total number of assessment times 100,IDRAS Report,IDRAS Report,Quarterly,DRD & LTD,64
kpa1-057,kpa1,so1,1.3.3,output,Number of TRA stakeholders provided with demand-driven trainings,1.3.3 Reduction of tax objections,number,45,90,110,120,140,150,grow,Total number of TRA stakeholders trained on demand-driven trainings during the reporting period,Training Reports,Training Reports,Annually,ITA,64
kpa1-058,kpa1,so1,1.3.4,output,Percentage of students enrolment for ITA's long-term programs,1.3.4 Expanded Scope and Quality of ITA Training Programmes to the General Public.,percent,4%,4%,5%,5%,6%,6%,grow,Current period enrolment minus previous period enrolment divided by previous period enrolment times 100,Student Management System Reports,Student Management System Reports,Annually,ITA,64
kpa1-059,kpa1,so1,1.3.4,output,Increase in number of candidates enrolled in tax and customs certification programs,1.3.4 Expanded Scope and Quality of ITA Training Programmes to the General Public.,number,0,20,30,50,70,100,grow,Physical count of enrolled candidates in Certification Programs,Candidates register for each certificate program,Candidates register for each certificate program,Annually,ITA,64
kpa1-060,kpa1,so1,1.3.4,output,Number of tracer studies conducted,1.3.4 Expanded Scope and Quality of ITA Training Programmes to the General Public.,number,1,1,1,1,1,1,maintain,Total number of tracer studies completed and documented during the reporting period,Tracer studies Reports,Tracer studies Reports,Annually,ITA,64
kpa1-061,kpa1,so1,1.3.5,output,Number of curricula reviewed/developed and approved,1.3.5 The quality of delivery and assessment improved,number,4,2,4,4,4,4,maintain,Total number of curricula that have been successfully reviewed/newly developed and formally approved during the reporting period.,Curriculum development reports 2. Approval letters from relevant authorities (TCU/NACTVET) 3. Minutes of TRA Management/Board Meetings,Curriculum development reports,Annually,ITA,64
kpa1-062,kpa1,so1,1.3.5,output,Number of staffs trained on training delivery and assessment,1.3.5 The quality of delivery and assessment improved,number,35,40,40,40,40,40,grow,Total number of staff who completed training on training delivery and assessment during the reporting period,Training attendance registers 2. Training reports 3. Certificates of completion issued to staff,Training attendance registers,Annually,ITA,64
kpa1-063,kpa1,so1,1.3.5,output,Number of teaching case studies developed,1.3.5 The quality of delivery and assessment improved,number,2,4,10,14,20,30,grow,Total number of teaching case studies completed and approved for use in training or academic programs during the reporting period.,Case study approval reports,Case study approval reports,Annually,ITA,64
kpa1-064,kpa1,so1,1.4,outcome,Percentage of Newly Registered Taxpayers from Informal Sector,1.4 Expand Tax Base from the Informal Sector,percent,0%,100%,100%,100%,100%,100%,grow,Newly Registered Taxpayers from Informal Sector divide by total number of new taxpayers registered x 100,IDRAS report,IDRAS report,Quarterly,DRD & TECD,65
kpa1-065,kpa1,so1,1.4,outcome,Percentage of taxpayers from informal sector graduated from minimum taxable income who are assessed and paid taxes,1.4 Expand Tax Base from the Informal Sector,percent,0%,100%,100%,100%,100%,100%,grow,Taxpayers from informal sector graduated from minimum taxable income who are assessed and paid taxes over total number of taxpayers from informal sector x 100,IDRAS report,IDRAS report,Quarterly,DRD & TECD,65
kpa1-066,kpa1,so1,1.4,outcome,Number of Informal Sector Awareness Campaigns Conducted Annually,1.4 Expand Tax Base from the Informal Sector,number,70,70,70,70,70,70,maintain,"Total count of distinct awareness campaigns (e.g., radio, print, community events) specifically targeting the informal sector","Script, Attendance, Invitation",Script,Annually,TECD,65
kpa1-067,kpa1,so1,1.4.1,output,Participation Rate in Informal Sector Taxpayer Workshops,1.4.1 Targeted Capacity Building and Awareness for Informal Sector Taxpayers,percent,80%,90%,90%,90%,90%,90%,grow,The percentage of invited or eligible informal sector entities that attend capacity-building workshops.,List of invited participants,List of invited participants,Annually,TECD,65
kpa1-068,kpa1,so1,1.4.1,output,Percentage of TECD Taxpayer Communications Customized by Segment,1.4.1 Targeted Capacity Building and Awareness for Informal Sector Taxpayers,percent,70%,85%,90%,95%,100%,100%,grow,Number of taxpayers educated during the year over number of taxpayers targeted from the given segments times 100%,"Customised reminders, education materials",Customised reminders,Annually,TECD,65
kpa2-001,kpa2,so2_0,2.1,outcome,End-to-End Process Automation Rate,2.1 Improved End-to-End Automation,percent,30%,40%,55%,70%,80%,85%,grow,Number of processes fully automated divide by Total number of TRA processes mapped times 100.,TRA Process Library / Inventory / BPR Reports.,TRA Process Library,Annually,ICTD,65
kpa2-002,kpa2,so2_0,2.1,outcome,Percentage of Processes Mapped for Automation,2.1 Improved End-to-End Automation,percent,50%,60%,70%,80%,90%,100%,grow,Number of process mapped for automation divide by Total number of processes automated x 100,"Enterprise automation platform dashboards/ reports, Digital Transformation progress reports.",Enterprise automation platform dashboards,Annually,ICTD,65
kpa2-003,kpa2,so2_0,2.1.1,output,Percentage of Core Processes Automated,2.1.1 Enterprise Automation Platform Implemented and Integrated,percent,50%,60%,70%,80%,90%,100%,grow,(Number of processes fully automated and operational on the enterprise automation platform ÷ Total number of core revenue and customs processes identified for automation in the approved automation blueprint) × 100.,"Enterprise automation platform dashboards/ reports, Digital Transformation progress reports.",Enterprise automation platform dashboards,Annually,ICTD,65
kpa2-004,kpa2,so2_0,2.1.1,output,Percentage of support Processes Automated,2.1.1 Enterprise Automation Platform Implemented and Integrated,percent,50%,60%,70%,80%,90%,100%,grow,(Number of processes fully automated and operational on the enterprise automation platform ÷ total number of support process identified for automation in the approved automation blueprint) × 100.,"Enterprise automation platform dashboards/ reports, Digital Transformation progress reports.",Enterprise automation platform dashboards,Annually,ICTD,66
kpa2-005,kpa2,so2_0,2.1.1,output,Number of Core Systems Integrated with Automation platform,2.1.1 Enterprise Automation Platform Implemented and Integrated,number,2,3,5,7,9,10,grow,"Count of core systems from the approved integration roadmap that have been successfully integrated with the enterprise automation platform, tested, and are operational in the production environment.","Enterprise automation platform integration reports/dashboards, approved integration architecture or roadmap, API/middleware configuration records, Digital Transformation progress reports.",Enterprise automation platform integration reports,Annually,ICTD,66
kpa2-006,kpa2,so2_0,2.1.2,output,Number of New Automated Self-Service Features Available,2.1.2 Digital Self-Service Channels Enhanced for Automated Interactions,number,5,10,15,20,25,30,grow,"Count of new automated self-service features introduced in TRA digital channels (e.g., taxpayer portals, trader portals, mobile apps, or APIs) during the reporting period that have been developed, tested, deployed, and are operational in the production environment","System release notes and deployment reports, ICT change management records, user acceptance testing and go-live reports, digital platform documentation, updated portal/mobile application feature lists, and ICT/Digital Transformation progress reports.",System release notes and deployment reports,Annually,ICTD,66
kpa2-007,kpa2,so2_0,2.1.3,output,Number of courses/modules conducted through e-learning platforms,"2.1.3 ICT in teaching, learning and research enhanced",number,5,5,10,15,20,30,grow,Number of e-learning courses delivered,"E-learning platform records (e.g., Moodle)",E-learning platform records,Quarterly,ITA,66
kpa2-008,kpa2,so2_0,2.1.3,output,Number of staffs trained on e-learning training delivery,"2.1.3 ICT in teaching, learning and research enhanced",number,10,20,30,35,40,60,grow,Number of participants enrolled in e-learning courses,"E-learning training calendar, Learning Management System (LMS) and training reports",E-learning training calendar,Quarterly,ITA,66
kpa2-009,kpa2,so2_0,2.1.3,output,End-to-End automation Academic and Support Processes Automation Rate,"2.1.3 ICT in teaching, learning and research enhanced",percent,50%,60%,70%,80%,90%,100%,grow,Number of processes executed entirely through digital systems divided by total number of processes times 100 (Automation Rate),System-based approvals and transactions reports,System-based approvals and transactions reports,Annually,ITA,67
kpa2-010,kpa2,so2_0,2.1.3,output,Upgraded network Bandwidth h/access to support Learning Management System (LMS),"2.1.3 ICT in teaching, learning and research enhanced",MBps,20 MBps,30,40,60,80,90,grow,Bandwidth scores recorded in the platform,"1. Network performance monitoring reports (speed, uptime, latency), 2. Bandwidth utilization reports",Network performance monitoring reports,Quarterly,ITA,67
kpa2-011,kpa2,so2_0,2.2,outcome,Percentage of Integrated Digital Payment Channels for Tax Compliance,2.2 Enhanced Enterprise Data Integration and Tax Eligibility Intelligence,percent,30%,40%,50%,60%,70%,90%,grow,(Number of priority digital payment platforms whose transaction data trails are integrated into TRA's enterprise data platform and analytics systems for tax compliance monitoring ÷ Total number of identified priority digital payment platforms) × 100.,"Enterprise data platform/data warehouse integration reports, API or data exchange configuration records, data sharing agreements with payment service providers, system integration and deployment reports, analytics dashboards, and ICT/Data Integration progress reports.",Enterprise data platform/data warehouse integration reports,Quarterly,ICTD,67
kpa2-012,kpa2,so2_0,2.2,outcome,Number of Internal and External systems Integrated,2.2 Enhanced Enterprise Data Integration and Tax Eligibility Intelligence,number,90,100,150,200,250,300,grow,"Count of distinct internal TRA systems and priority external data sources whose data streams have been successfully TRA integrated into the enterprise data platform, standardized, transformed into analytics-ready data models, and made available for analytics and compliance intelligence use.","TRA Enterprise data platform integration logs, data integration architecture documentation, ETL/data pipeline configuration records, enterprise data catalogue or metadata repository, data sharing agreements with external institutions, and ICT/Data Integration progress reports.",TRA Enterprise data platform integration logs,Quarterly,ICTD,67
kpa2-013,kpa2,so2_0,2.2,outcome,Growth in Analytics-Driven Tax Eligibility,2.2 Enhanced Enterprise Data Integration and Tax Eligibility Intelligence,percent,0%,15%,25%,35%,45%,55%,grow,(Number of new tax eligibility cases or discrepancies identified through data analytics in the current year − Number identified in the previous year) ÷ Number identified in the previous year) × 100.,"TRA Enterprise analytics platform reports, compliance risk management system records, data matching and intelligence reports, case management system logs, annual compliance and risk management reports, and ICT/Data Analytics program performance reports.",TRA Enterprise analytics platform reports,Quarterly,ICTD,67
kpa2-014,kpa2,so2_0,2.2,outcome,Enterprise Data Integration Maturity,2.2 Enhanced Enterprise Data Integration and Tax Eligibility Intelligence,number,2,2.5,3,3.5,4,4.5,grow,"Average maturity score derived from an annual assessment of key enterprise data integration dimensions (e.g., data integration, data quality, accessibility, governance, metadata/ontologies, and analytics readiness) using an approved maturity framework rated on a scale of 1–5.","Enterprise data integration maturity assessment reports, enterprise data architecture documentation, data governance policies, enterprise data catalogue/metadata repository records, data quality monitoring reports, analytics platform documentation, and internal or independent assessment reports.",Enterprise data integration maturity assessment reports,Quarterly,ICTD,68
kpa2-015,kpa2,so2_0,2.2.1,output,Average data freshness latency for critical,2.2.1 Unified Enterprise Data Platform Established,hours,72 Hours,48,24,12,6,<4,reduce,"Average time (in hours) between the timestamp when data is created or updated in critical source systems and the timestamp when the data becomes available for analysis in the enterprise data platform, calculated across all monitored critical datasets during the reporting period.","Enterprise data platform monitoring dashboards, ETL/data pipeline logs, data integration monitoring tools, enterprise data catalogue/metadata records, system integration documentation, and ICT/Data Engineering performance reports.",Enterprise data platform monitoring dashboards,Quarterly,ICTD,68
kpa2-016,kpa2,so2_0,2.2.2,output,Number of unique AI/Machine Learning (ML) models deployed for tax eligibility,2.2.2 AI-driven Tax Eligibility Intelligence Models Deployed,number,2,3,4,5,8,10,grow,"Count of distinct AI or machine learning models designed for tax eligibility identification that have been developed, validated, deployed in the production environment, and are actively generating analytical outputs or alerts for compliance monitoring.","AI/ML model registry or inventory, analytics platform deployment logs, model validation and testing reports, enterprise analytics dashboards, model technical documentation, compliance/case management system reports, and ICT/Data Analytics implementation progress reports.",AI/ML model registry or inventory,Quarterly,ICTD,68
kpa2-017,kpa2,so2_0,2.2.2,output,Accuracy rate of AI/ML tax eligibility,2.2.2 AI-driven Tax Eligibility Intelligence Models Deployed,number,60,65,70,78,85,90,grow,"(Number of AI/ML-generated tax eligibility or compliance risk cases confirmed as valid through human review, compliance checks, or audit outcomes ÷ Total number of AI/ML-generated cases reviewed during the reporting period) × 100.","AI/ML analytics platform reports, model performance evaluation reports, compliance risk management system records, audit or investigation reports, case management system logs, and data analytics/model monitoring reports.",AI/ML analytics platform reports,Quarterly,ICTD,68
kpa2-018,kpa2,so2_0,2.2.3,output,Percentage of critical data elements with defined ownership and quality rules,2.2.3 Enterprise Data Governance Framework Operationalized,percent,10%,25%,45%,65%,85%,100%,grow,(Number of critical data elements in the enterprise data platform with formally assigned data owners and defined data quality rules ÷ Total number of identified critical data elements) × 100.,"Enterprise data catalogue/metadata repository, data governance framework documentation, data stewardship registers, data quality rules and monitoring reports, enterprise data governance committee records, and ICT/Data Governance implementation reports.",Enterprise data catalogue/metadata repository,Quarterly,ICTD,69
kpa2-019,kpa2,so2_0,2.2.3,output,Average data quality score for critical datasets,2.2.3 Enterprise Data Governance Framework Operationalized,percent,60%,65%,75%,82%,90%,95%,grow,"Average of composite data quality scores for all critical datasets in the enterprise data platform, where each dataset's score is calculated based on predefined data quality dimensions (e.g., completeness, accuracy, consistency, timeliness, and validity) measured against established quality rules.","Enterprise data quality monitoring dashboards, data quality assessment reports, enterprise data catalogue/metadata repository, data quality rule configuration records, data profiling/validation tool outputs, and ICT/Data Governance performance reports.",Enterprise data quality monitoring dashboards,Quarterly,ICTD,69
kpa2-020,kpa2,so2_0,2.2.3,output,Percentage of data governance policy breaches/incidents reported and resolved,2.2.3 Enterprise Data Governance Framework Operationalized,percent,5%,10%,20%,30%,50%,60%,grow,(i) Count of data governance policy breaches or incidents formally reported during the reporting period; and (ii) Percentage of reported incidents resolved within the defined timeframe = (Number of incidents resolved within the defined timeframe ÷ Total number of reported incidents) × 100.,"Data governance incident management system logs, information security incident reports, enterprise data governance committee records, internal audit/compliance reports, ICT security monitoring logs, and incident resolution documentation.",Data governance incident management system logs,Quarterly,ICTD,69
kpa2-021,kpa2,so2_0,2.3,outcome,Value of AI-Detected Fraud and Non-Compliance Confirmed through Investigation and Digital Forensic Examination,2.3 Advanced Risk and Predictive Prevention Capability,TZS billion,10 Billion TZS,10,25,45,70,100,grow,"Sum of monetary values (TZS) of fraud, tax evasion, and non-compliance cases initially identified by AI/ML systems and subsequently verified through audits, investigations, digital forensic examination or compliance review within the fiscal year.",Data governance policy breaches or incidents formally reported during the reporting period,Data governance policy breaches or incidents,Quarterly,TID,69
kpa2-022,kpa2,so2_0,2.3,outcome,Percentage Reduction in number of cyber threats.,2.3 Advanced Risk and Predictive Prevention Capability,percent,7%,20%,30%,40%,50%,60%,grow,Percentage reduction in cyber fraud incidents detected by internal monitoring systems compared to the previous reporting period,"Cybersecurity monitoring system reports, ICT fraud detection system logs, IT security incident registers, SOC incident reports, and internal audit/risk management reports",Cybersecurity monitoring system reports,Quarterly,ICTD,69
kpa2-023,kpa2,so2_0,2.3,outcome,Coverage of Tamper-Proof Digital Controls,2.3 Advanced Risk and Predictive Prevention Capability,percent,10%,15%,20%,40%,65%,85%,grow,"((Estimated value of undetected irregularities before predictive analytics implementation – Estimated value after implementation) ÷ Estimated value before implementation) × 100. (Number of high-risk revenue streams, tax categories, or taxpayer segments with deployed and operational tamper-proof digital controls ÷ Total number of identified high-risk areas) × 100.","ICT/digital controls deployment logs, system integration reports, operational monitoring dashboards, audit/compliance verification reports, blockchain/smart contract ledger records, and ICT/Digital Transformation implementation reports.",ICT/digital controls deployment logs,Quarterly,ICTD,69
kpa2-024,kpa2,so2_0,2.3,outcome,Predictive Risk Detection Accuracy Rate,2.3 Advanced Risk and Predictive Prevention Capability,percent,25%,30%,35%,40%,50%,60%,grow,Number of predictive alerts that result in confirmed non-compliance divided by Total number of predictives identified times 100,Data Source: 1. 1. Predictive Models Performance Report 2. Compliance Investigation / Audit / Examination Outcome Reports Frequency: Quarterly Assumptions: 1. Risk models are continuously updated and validated. 2. Adequate investigations are conducted on generated predictive alerts.,Predictive Models Performance Report,Quarterly,RCD,69
kpa2-025,kpa2,so2_0,2.3.1,output,Percentage of System uptime,2.3.1 Integrated Advanced Analytics and AI Platform Deployed,percent,99.9%,99.99%,99.99%,99.99%,99.99%,99.99%,grow,"(Total available platform time ÷ Total scheduled platform time) × 100, where downtime excludes planned maintenance","System monitoring logs, service level agreement reports, incident/outage reports, ICT operations reports, audit reports on platform operations, and maintenance/downtime logs",System monitoring logs,Quarterly,ICTD,70
kpa2-026,kpa2,so2_0,2.3.1,output,Percentage of business functions supported by AI,2.3.1 Integrated Advanced Analytics and AI Platform Deployed,percent,0%,2%,5%,9%,13%,18%,grow,business functions supported by AI divide by total number of business functions x 100,reports on platform operations,reports on platform operations,Quarterly,ICTD,70
kpa2-027,kpa2,so2_0,2.3.2,output,Number of AI/ML predictive risk models deployed in production by 2030/2031,2.3.2 AI/ML-Powered Predictive Risk and Fraud Models Developed and Deployed,number,2,2,2,2,2,2,maintain,Count of distinct AI/ML predictive risk models deployed and operational in the production environment.,Predictive Models Deployment Report,Predictive Models Deployment Report,Annually,RCD,70
kpa2-028,kpa2,so2_0,2.3.3,output,Number of data integrity breaches or unauthorized data modifications reported,2.3.3 Robust Digital Control Framework for Compliance and Data Integrity Established,number,15,15,12,8,4,2,reduce,Count of all confirmed incidents of unauthorized data modifications or data integrity breaches in critical systems during the reporting year.,"Incident management/IT security reports, system and application audit logs, internal audit and compliance reports, SOC reports, investigation documentation, and annual ICT security/risk reports.",Incident management/IT security reports,Quarterly,RCD,70
kpa2-029,kpa2,so2_0,2.3.4,output,Reduction in number of reported system fraud cases investigated,2.3.4 Strengthened Cyber Fraud Detection and Investigation Systems,number,0,21,16,13,10,7,grow,Reduction in number of reported and investigated system fraud incidents compared to the previous reporting period. Formula: (Previous Period Cases – Current Period Cases),Fraud Risk Management Reports and Investigation reports,Fraud Risk Management Reports,Quarterly,INAD,70
kpa2-030,kpa2,so2_0,2.4,outcome,Percentage of Revenue Collected from Non-resident Digitally Detected Economic Activity,"2.4 Improved Digital Economy Visibility, Legal Harmonisation and Intelligent Engagement",number,20,60%,75%,80%,95%,100%,grow,"Sum of all taxes, penalties, and interest collected in a fiscal year from cases identified via digital surveillance, analytics, and intelligence-driven compliance initiatives against the set target.","TRA revenue collection records, digital detection/analytics platform logs, audit/compliance reports, case management files, ICT/digital transformation oversight reports, and management dashboards.",TRA revenue collection records,Quarterly,DRD,71
